Name,Type,Width,Decimal,NULL,,,,,,,,,,,,,
ticker,Character,6,0,FALSE,"""varchar(6) not null""",,,,,,,,,,,,
phone,Character,25,0,FALSE,"""varchar(25) not null""",,,,,,,,,,,,
drp,Logical,1,0,FALSE,"""bit not null""",,,,,,,,,,,,
partopt,Logical,1,0,FALSE,"""bit not null""",,,,,,,,,,,,
cashopt,Logical,1,0,FALSE,"""bit not null""",,,,,,,,,,,,
caplusopt,Logical,1,0,FALSE,"""bit not null""",,,,,,,,,,,,
direct,Logical,1,0,FALSE,"""bit not null""",,,,,,,,,,,,
directmin,Character,50,0,FALSE,"""varchar(50) not null""",,,,,,,,,,,,
cash,Logical,1,0,FALSE,"""bit not null""",,,,,,,,,,,,
cashfreq,Character,40,0,FALSE,"""varchar(40) not null""",,,,,,,,,,,,
cashmax,Character,20,0,FALSE,"""varchar(20) not null""",,,,,,,,,,,,
cashmin,Character,20,0,FALSE,"""varchar(20) not null""",,,,,,,,,,,,
broker,Logical,1,0,FALSE,"""bit not null""",,,,,,,,,,,,
servchrg,Logical,1,0,FALSE,"""bit not null""",,,,,,,,,,,,
discount,Logical,1,0,FALSE,"""bit not null""",,,,,,,,,,,,
phoneagent,Logical,1,0,FALSE,"""bit not null""",,,,,,,,,,,,
invest,Logical,1,0,FALSE,"""bit not null""",,,,,,,,,,,,
qualify,Character,40,0,FALSE,"""varchar(40) not null""",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"""varchar(6) not null""","""varchar(25) not null""","""bit not null""","""bit not null""","""bit not null""","""bit not null""","""bit not null""","""varchar(50) not null""","""bit not null""","""varchar(40) not null""","""varchar(20) not null""","""varchar(20) not null""","""bit not null""","""bit not null""","""bit not null""","""bit not null""","""bit not null""","""varchar(40) not null"""
